disruption_type,event_date,publish_date,location_name,urls,num_articles,source_title,duration_hours,extras,evidence,confidence,method,url
trade_embargo,,,Iran,['https://drudge.com/news/288975/iran-listen-protesters-legitimate'],1.0,Iran to Listen to Protesters' 'legitimate demands' After Widespread Dissent,,{},[],0.7,[],
labour_strike,,,India,['https://dailypioneer.com/news/low-pay-tedious-work-lack-of-security-push-gig-workers-to-the-edge'],1.0,"Gig Workers Struggle With Long Hours, Low Pay; Nationwide Strike Announced",,{},[],0.9,[],
trade_embargo,2026-01-01,2025-12-31 00:00:00,Venezuela (southern Caribbean Sea and Pacific Ocean near Venezuela),"['http://www.econotimes.com/Venezuela-Frees-More-Detainees-After-2024-Election-Protests-Amid-Rising-US-Pressure-1729933', 'http://www.heraldglobe.com/news/278784911/us-sees-record-investment-as-domestic-products-face-no-tariffs-claims-trump', 'http://www.hydrocarbonprocessing.com/news/2026/01/chinese-refiners-expected-to-replace-venezuelan-oil-with-iranian-crude/', 'https://athens-times.com/russia-asks-u-s-to-halt-pursuit-of-venezuela-bound-oil-tanker/', 'https://en.shafaqna.com/437130/trump-claims-venezuelas-maduro-captured-after-large-scale-us-strikes/', 'https://ijr.com/maduro-scrambles-to-open-talks-with-u-s-after-venezuela-strike/', 'https://kathmandupost.com/world/2026/01/03/us-strikes-venezuela-after-trump-s-threats-against-maduro', 'https://news.antiwar.com/2025/12/31/us-bombed-seven-countries-in-2025-as-trump-dramatically-expanded-airstrikes/', 'https://news.sky.com/story/us-strikes-on-venezuela-how-did-we-get-here-13489872', 'https://www.asiaone.com/world/trump-says-us-oil-companies-will-spend-billions-needed-restore-venezuelas-crude-output', 'https://www.dhakatribune.com/world/latin-america/400154/us-media-us-conducting-military-strikes-against', 'https://www.dhakatribune.com/world/latin-america/400160/trump-says-venezuela%E2%80%99s-maduro-held-in-large-scale', 'https://www.hindustantimes.com/world-news/us-sanctions-chinese-companies-tankers-with-venezuela-links-evading-restriction-101767318834670.html', 'https://www.ibtimes.co.uk/trump-bombs-venezuela-chinese-officials-visit-coincidence-message-beijing-1767896', 'https://www.kyivpost.com/post/67348', 'https://www.kyivpost.com/post/67367', 'https://www.latintimes.com/russia-formally-requests-us-stop-pursuing-tanker-that-painted-its-flag-hull-it-flees-593123', 'https://www.newkerala.com/news/a/us-imposes-new-sanctions-venezuelas-oil-sector-889.htm', 'https://www.odt.co.nz/news/world/us-strikes-venezuela-after-trumps-threats-against-maduro', 'https://www.straitstimes.com/world/brazil-says-us-crossed-unacceptable-line-over-military-strikes-on-venezuela', 'https://www.taipeitimes.com/News/world/archives/2026/01/02/2003849931', 'https://www.whec.com/top-news/hundreds-gather-in-rochester-to-protest-president-trumps-military-actions-in-venezuela/', 'https://www.whec.com/top-news/over-a-hundred-gather-in-rochester-to-protest-president-trumps-military-actions-in-venezuela/']",23.0,Trump says US oil companies will spend the billions needed to restore Venezuela's crude output,,"{'sanction_count': [4, 4, 4, 8]}",[],0.9,[],
labour_strike,,,India,['https://www.thenewsminute.com/news/over-two-lakh-gig-workers-log-off-nationwide-in-new-years-eve-strike'],1.0,Over two lakh gig workers log off nationwide in New Year’s Eve strike,17.0,{},[],0.9,[],
tariffs,2025-12-31,2025-12-31 23:30:00,United States (affecting Canadian furniture and cabinet industry),"['https://6abc.com/post/chinese-ev-makers-disrupt-global-market-face-us-tariffs-driving-future/18340089/', 'https://asia.nikkei.com/economy/trade-war/trump-tariffs/will-the-us-supreme-court-strike-down-trump-tariffs-5-things-to-know', 'https://crooksandliars.com/2026/01/newsmax-host-eric-bolling-wants-trump', 'https://crooksandliars.com/2026/01/trump-slashing-tariffs-save-face-supreme', 'https://fortune.com/2026/01/03/trump-venezuela-economy-oil-industry-reconstruction-america-first-affordability-crisis/', 'https://globalnews.ca/news/11596286/donald-trump-tariffs-furniture-increase-delay/', 'https://globalnews.ca/news/11597266/furniture-cabinet-tariffs-paused-donald-trump/', 'https://investinglive.com:443/news/trump-taco-now-with-pasta-backtracks-on-italian-pasta-tariffs-after-industry-pushback-20260102/', 'https://island.lk/donald-trump-pauses-us-tariff-hike-on-furniture-cabinets-for-one-year/', 'https://katu.com/news/nation-world/trump-delays-increased-tariffs-on-furniture-amid-ongoing-trade-talks', 'https://marketrealist.com:443/wells-fargo-urges-americans-to-stock-up-on-home-goods/', 'https://news.sky.com/story/starmer-accused-of-diverting-nhs-billions-to-appease-trump-13489684', 'https://news.tuoitre.vn/us-delays-wood-tariff-hike-gives-temporary-relief-to-vietnams-wood-sector-in-2026-103260103134946424.htm', 'https://nypost.com/2026/01/01/business/trump-administration-set-to-drastically-cut-planned-italian-pasta-tariffs/', 'https://panow.com/2026/01/02/canadian-furniture-and-cabinet-industry-still-reeling-after-trump-pauses-tariff-spike/', 'https://panow.com/2026/01/04/canadian-furniture-and-cabinet-industry-still-reeling-after-trump-pauses-tariff-spike-2/', 'https://salinapost.com/posts/31abe794-5d78-4563-bb53-2f6c1bb8dd85', 'https://saobserver.net/2026/01/01/mp-mel-arnold-says-new-riding-tariffs-mark-eventful-and-interesting-year/', 'https://toronto.citynews.ca/2026/01/02/canadian-furniture-and-cabinet-industry-still-reeling-after-trump-pauses-tariff-spike/', 'https://www.aljazeera.com/news/2026/1/1/donald-trump-pauses-us-tariff-hike-on-furniture-cabinets-for-one-year', 'https://www.alternet.org/trump-economy-2674841042/', 'https://www.ariananews.af/world-reacts-to-us-strikes-on-venezuela/', 'https://www.benzinga.com/markets/macro-economic-events/26/01/49662166/trump-kicks-off-new-year-by-delaying-furniture-tariffs-to-2027-massively-slashing-i', 'https://www.cbsnews.com/news/us-cuts-italy-pasta-tariffs/', 'https://www.crookwellgazette.com.au/story/9144227/italy-says-us-sharply-cuts-proposed-pasta-tariffs/', 'https://www.el-balad.com/6809035', 'https://www.el-balad.com/6809218', 'https://www.el-balad.com/6809796', 'https://www.fox7austin.com/news/trump-administration-reduces-italian-pasta-tariffs', 'https://www.foxbusiness.com/fox-news-politics/trump-administration-scales-back-proposed-tariffs-on-italian-pasta-makers-following-review', 'https://www.gx94radio.com/2026/01/02/canadian-furniture-and-cabinet-industry-still-reeling-after-trump-pauses-tariff-spike/', 'https://www.independent.co.uk/news/world/americas/us-politics/trump-tariffs-italy-pasta-taco-b2893225.html', 'https://www.kincardinenews.com:443/news/local-news/trump-delays-50-per-cent-tariffs-on-canadian-wood-manufacturers', 'https://www.lakeshoreadvance.com:443/news/local-news/trump-delays-50-per-cent-tariffs-on-canadian-wood-manufacturers', 'https://www.lexology.com/library/detail.aspx?g=078ea380-b4a7-487a-8c18-8d03760a373b', 'https://www.livemint.com/global/tariffs-crimped-hiring-in-2025-why-this-year-looks-better-11767418886625.html', 'https://www.logisticsmanager.com/us-delays-tariff-increases-on-wooden-products/', 'https://www.the-star.co.ke/news/world/2026-01-02-us-slashes-proposed-tariffs-on-italian-pasta-imports', 'https://www.theguardian.com/us-news/2026/jan/02/italian-pasta-makers-win-reprieve-from-trump-tariffs', 'https://www.thelocal.it/20260102/us-to-spare-some-italian-pasta-brands-from-hefty-tariffs', 'https://www.timesfreepress.com/news/2025/dec/31/trump-made-lots-tariff-threats-2025/', 'https://www.upi.com/Top_News/US/2026/01/01/Trump-administration-pulls-back-on-tariffs-for-Italian-pastas/5631767309584/', 'https://www.upi.com/Top_News/US/2026/01/01/tariff-rollback-italian-pasta/5631767309584/', 'https://www.wantedinrome.com/news/us-to-slash-proposed-tariffs-on-italian-pasta.html', 'https://www.wcbi.com/u-s-reduces-proposed-tariffs-on-italian-pasta-italys-foreign-ministry-says/', 'https://www.wccbcharlotte.com/2026/01/03/trump-administration-scraps-sky-high-pasta-tariff-plan/']",46.0,"Trump Kicks Off New Year By Delaying Furniture Tariffs To 2027, Massively Slashing Italian Pasta Duties - RH (NYSE:RH), Wayfair (NYSE:W)",,"{'tariff_rate': [[25, 30, 50], {'La Molisana': 2.26, 'Garofalo': 13.98, 'Other producers': 9.09, 'Previous_proposed_max': 92}, {'paused_hike_cabinets_vanities_percent': 50, 'paused_hike_upholstered_furniture_percent': 30, 'maintained_rate_percent': 25, 'pasta_companies_recalculated_rates_percent': [2.26, 13.98, 9.09], 'previous_threatened_pasta_rate_percent': 92}, {'original_percent': 92, 'reduced_range_percent': [2, 14], 'specific_reduced_rates_percent': {'La Molisana': 2.26, 'Pastificio Lucio Garofalo': 13.98, 'other_11_companies': 9.09}}, {'previous_percent': 107, 'new_percent_min': 24, 'new_percent_max': 29}, 'reduced from as high as 92% to as little as 2.26%; La Molisana 2.26%; Garofalo ~14%; 11 additional brands 9%; existing 15% tariffs on most EU imports', [25, 30, 50], {'proposed_max_percent': 92, 'reduced_min_percent': 2.26, 'examples_percent': {'La Molisana': 2.26, 'Garofalo': 'nearly 14', '11_brands': 9}, 'existing_eu_tariff_percent': 15}, {'proposed_overall_percent': 107.0, 'initial_additional_percent': 92.0, 'baseline_percent': 15.0, 'revised_LaMolisana_percent': 2.26, 'revised_Garofalo_percent': 13.98, 'revised_other_companies_percent': 9.09}, {'initial_proposed_extra_rate_percent': 92.0, 'regular_rate_percent': 15.0, 'La Molisana_percent': 2.26, 'Garofalo_percent': 13.98, 'remaining_11_producers_percent': 9.09}, {'initial_proposed_percent': 91.74, 'new_lowest_percent': 2.26, 'other_max_percent': 13.98}, {'proposed_percent': 91.74, 'underlying_eu_tariff_percent': 15.0, 'reduced_range_min_percent': 2.26, 'reduced_range_max_percent': 13.98}, 'reduced to 2%-14%; had been threatened up to 92%', '25% implemented in October; 30% planned for upholstered furniture (was to take effect Jan. 1); 50% planned for cabinets and vanities (paused)', 'preliminary range 2%–14%; previously threatened up to 92%; plus existing 15% EU-wide tariff', {'planned_cabinets_and_vanities_percent': 50, 'planned_upholstered_furniture_percent': 30, 'maintained_percent': 25}, {'original_percent': 92, 'reduced_range_percent': '2% to 14%', 'examples_percent': {'La Molisana': 2.26, 'Garofalo': 13.98, 'other_11_companies': 9.09}}, {'timber_and_lumber': '10%', 'upholstered_furniture': '25% (was due to rise to 30% from 2026-01-01)', 'kitchen_cabinets_and_vanities': '25% (was set to double to 50% for countries without agreements)', 'rate_caps': 'UK 10%, EU and Japan 15%'}, {'initial_proposed_percent': 92, 'eu_general_rate_percent': 15, 'La Molisana_percent': 2, 'Garofalo_percent': 14, 'other_11_percent': 9}, {'applied_percent': 25, 'planned_increase_furniture_percent': 30, 'planned_increase_cabinets_percent': 50}, {'implemented_in_october': '25%', 'planned_increase_furniture': '30%', 'planned_increase_cabinets_and_vanities': '50%'}, {'initial': '25%', 'planned_upholstered_increase': '30%', 'planned_cabinets_and_vanities_increase': '50%', 'planned_increase_effective_date': 'Jan. 1'}, {'proposed_max_percent': 92, 'eu_general_percent': 15, 'reduced_rates_percent': [2.26, 13.98, 9.09]}, {'proposed_total_if_91pct_anti_dumping_plus_15pct_general_percent': 107, 'proposed_anti_dumping_percent': 91, 'reduced_La_Molisana_percent': 2.26, 'reduced_Garofalo_percent': 13.98, 'reduced_remaining_11_producers_percent': 9.09, 'existing_general_tariff_percent': 15}, 25, {'La Molisana': 2.3, 'Garofalo': 13.9, 'other_italian_producers_most': 9.1, 'eu_import_tariff': 15.0}, 'more than 100%', {'La Molisana': 2.3, 'Garofalo': 14.0, '11_other_producers': 9.1}, 25, {'La Molisana': 2.26, 'Garofalo': 13.98, 'Remaining_11_companies': 9.09, 'previously_proposed_max': 92.0, 'existing_EU_tariff': 15.0}, 92, 'raw timber: 10% -> 30%; deeply processed wood products: 25% -> 50%', {'scheduled_increase_percent': 50, 'current_percent': 25}, 25, {'initial_percent': 25, 'proposed_upholstered_percent': 30, 'proposed_cabinets_and_vanities_percent': 50}, 50, '25% on kitchen cabinets, bathroom vanities and certain wooden upholstered goods; 10% on many types of raw wood'], 'affected_trade_value': ['€671 million', 788000000, 800000000, 800000000, 600000000, 770000000, 788000000, 800000000, 800000000, '€671000000', 770000000, 671000000, 800000000, 16300000000, 20000000000, 20000000000], 'affected_products_count': [13, 13, 13, 13, 13, 13, 13, 13, 11]}",[],0.9,[],
tariffs,2026-01-01,2025-12-31 21:30:19,"China–Australia trade (affecting Riverina, New South Wales, Australia)","['http://www.bgnes.com/economy/euronews-china-bets-on-belgium-sized-province-to-reshape-global-trade', 'http://www.econotimes.com/China-Imposes-55-Tariff-on-Beef-Imports-Above-Quota-to-Protect-Domestic-Industry-1729913', 'https://en.mercopress.com/2026/01/02/china-announces-beef-import-quotas', 'https://investinglive.com:443/news/icymi-china-slaps-55-tariff-on-excess-beef-imports-under-new-three-year-safeguard-regime-20260101/', 'https://www.2gb.com/australian-meat-industry-hits-out-at-potential-billion-dollar-cut-to-producers/', 'https://www.6pr.com.au/australian-beef-industry-stares-down-1b-loss-after-china-tariff-move/', 'https://www.9news.com.au/national/china-tariffs-australian-beef-caught-by-new-restrictions-on-imports/d9bece5c-0459-4aab-9da4-62462c5720c8', 'https://www.abc.net.au/news/2026-01-01/china-hits-australian-beef-industry-with-tariff/106191726', 'https://www.abc.net.au/news/2026-01-02/china-beef-import-tariffs-australian-trade-industry-economy/106192982', 'https://www.abc.net.au/news/2026-01-03/wagyu-angus-casualty-of-china-tariffs-on-australian-beef/106194112', 'https://www.blayneychronicle.com.au/story/9144216/chinas-beef-tariffs-spur-free-trade-respect-call/', 'https://www.bordermail.com.au/story/9143993/riverina-reacts-chinese-tariffs-impact-australian-beef-exports/', 'https://www.bordermail.com.au/story/9144355/urgent-action-needed-55-chinese-tariffs-on-aussie-beef/', 'https://www.businesstimes.com.sg/companies-markets/energy-commodities/china-imposes-curbs-beef-imports-protect-domestic-industry', 'https://www.chiangraitimes.com/china/china-beef-tarrifs/', 'https://www.crookwellgazette.com.au/story/9143868/china-sets-quotas-slaps-extra-tariffs-on-beef-imports/', 'https://www.dailyadvertiser.com.au/story/9144355/urgent-action-needed-55-chinese-tariffs-on-aussie-beef/', 'https://www.edenmagnet.com.au/story/9144216/chinas-beef-tariffs-spur-free-trade-respect-call/', 'https://www.northqueenslandregister.com.au/story/9143802/china-imposes-massive-tariff-on-aussie-beef-imports-new-year-slap/', 'https://www.perthnow.com.au/news/australian-beef-industry-slams-chinas-new-55-per-cent-import-tariffs-c-21175067', 'https://www.perthnow.com.au/news/business/economy/chinas-55pc-trade-tariff-on-beef-imports-unviable-for-australian-producers-david-littleproud-says-c-21183820', 'https://www.perthnow.com.au/news/politics/blow-to-australian-beef-producers-as-china-hikes-tariff-c-21177533', 'https://www.skynews.com.au/australia-news/politics/anthony-albanese-urged-to-to-explain-how-australia-was-unable-to-avoid-1bn-china-beef-tariff-wipeout/news-story/a7a1917e4dbe25ace3520473bd477a64?nk=b361068bcb724e5fc13cdd6e63ecc034-1767314812', 'https://www.smh.com.au/politics/federal/china-sets-beef-import-quotas-in-hit-to-australia-and-other-exporters-20260101-p5nr12.html', 'https://www.straitstimes.com/asia/australianz/australia-disappointed-with-chinas-beef-tariffs', 'https://www.taipeitimes.com/News/biz/archives/2026/01/02/2003849892', 'https://www.theland.com.au/story/9144238/chinas-55pc-tariff-on-aussie-beef-shocks-industry/', 'https://www.watoday.com.au/business/markets/china-sets-beef-import-quotas-in-hit-to-australia-and-other-exporters-20260101-p5nr12.html', 'https://www.watoday.com.au/politics/federal/china-sets-beef-import-quotas-in-hit-to-australia-and-other-exporters-20260101-p5nr12.html']",29.0,"China’s 55pc trade tariff on beef imports ‘unviable’ for Australian producers, David Littleproud says",,"{'tariff_rate': [55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 0.0, 55, 55, 55], 'affected_trade_value': [1000000000, 1000000000, 1000000000, 1000000000, 1000000000, 3000000000, 1000000000, 'more than A$1,000,000,000', 'A$1000000000', 1000000000, 'over A$1 billion', '>1000000000', 1000000000, 3000000000, 1000000000, 1000000000, 1000000000, 100000000]}",[],0.9,[],
labour_strike,2026-01-02,2026-01-01 00:00:00,"Kaduna State, Nigeria","['https://dailypost.ng/2026/01/02/kaduna-nurses-threaten-strike-over-promotions/', 'https://dailytrust.com/kaduna-nurses-threaten-strike-over-stalled-promotions/', 'https://saharareporters.com/2026/01/01/prp-calls-nigerians-nationwide-protests-resistance-against-tinubus-tax-policies', 'https://www.thecable.ng/resident-doctors-threaten-nationwide-strike-accuse-fg-of-neglecting-agreements/']",4.0,"PRP Calls On Nigerians For Nationwide Protests, Resistance Against Tinubu’s Tax Policies",,{'strike_vote_result': '100% compliance'},[],0.9,[],
flood,2026-01-01,2025-12-31 20:03:25,"Santa Ana River (near Warner Avenue & Harbor Boulevard), Santa Ana / recovered in Fountain Valley, California","['https://abcnews.go.com/US/rain-headed-drenched-california-lake-effect-snow-hits/story?id=128843496', 'https://azcapitoltimes.com/news/2026/01/02/republican-lawmaker-calls-for-flood-relief-after-fema-denial/', 'https://bakersfieldnow.com/news/local/storm-damage-closes-eastbound-highway-166-near-maricopa-reopening-set-for-january-7-kern-county-california', 'https://laist.com/brief/news/climate-environment/body-recovered-from-santa-ana-river-during-new-years-day-storms', 'https://ucsdguardian.org/2026/01/05/winter-rainstorms-put-san-diego-county-on-flood-watch/', 'https://www.10news.com/news/the-streamline/the-streamline-friday-january-2-2026', 'https://www.aol.com/news/southern-california-storm-slams-santa-013614521.html', 'https://www.aol.com/news/years-day-downpour-floods-southern-202829175.html', 'https://www.businessinsider.com/san-diego-new-years-flights-diverted-canceled-flooding-storm-2026-1', 'https://www.dundalkdemocrat.ie/news/local-news/1977715/interim-flood-relief-measures-planned-for-dundalk-and-blackrock.html', 'https://www.dundalkdemocrat.ie/news/local-news/1979882/interim-flood-relief-measures-planned-for-dundalk-and-blackrock.html', 'https://www.eastbaytimes.com/2026/01/02/bay-area-flooding-king-tides-expected-bay-area-rain-through-monday/', 'https://www.el-balad.com/6808807', 'https://www.el-balad.com/6809266', 'https://www.latimes.com/california/story/2026-01-01/new-years-day-downpour-floods-southern-california-highways', 'https://www.marinij.com/2026/01/02/marin-tidal-flooding-drowns-shorelines-as-more-rain-looms/', 'https://www.marinij.com/2026/01/03/historic-flooding-hits-marins-low-lying-areas/', 'https://www.mercurynews.com/2026/01/02/bay-area-flooding-king-tides-expected-bay-area-rain-through-monday/', 'https://www.nbcbayarea.com/news/local/king-tides-flooding-sausalito-corte-madera/4006824/', 'https://www.nbcbayarea.com/news/local/king-tides-storm-flooding-bay-area/4006935/', 'https://www.pressdemocrat.com/2026/01/02/marin-tidal-flooding-drowns-shorelines-as-more-rain-looms/', 'https://www.santacruzsentinel.com/2026/01/02/bay-area-flooding-king-tides-expected-bay-area-rain-through-monday/', 'https://www.thereporter.com/2026/01/02/bay-area-flooding-king-tides-expected-bay-area-rain-through-monday/', 'https://www.times-standard.com/2025/12/31/potential-for-major-flooding-with-storm-king-tides-on-horizon/']",24.0,40 New Year's Day flights were diverted away from San Diego after a storm hit the city,,"{'rainfall_intensity': ['higher intensity rainfall late Friday night through early Saturday morning', {'Los Angeles': 1.53, 'Oxnard': 1.0, 'Santa Barbara': 0.8, 'San Luis Obispo': 0.57}, {'east_pasadena_in': 1.21, 'downtown_los_angeles_in': 1.33}, {'east_pasadena_in': 1.21, 'downtown_los_angeles_in': 1.33}, {'Mt. Umunhum (24h to 2026-01-02 07:00)': 1.5, 'Valley Christian (24h to 2026-01-02 07:00)': 1.25, 'Mill Valley (24h to 2026-01-02 07:00)': 0.75, 'San Francisco (24h to 2026-01-02 07:00)': 0.5, 'Oakland San Francisco Bay Airport (24h to 2026-01-02 07:00)': 0.25, 'Concord (24h to 2026-01-02 07:00)': 0.1, 'San Jose (24h to 2026-01-02 07:00)': 0.07}, '24-hour totals to 7 a.m. Friday: 1.5 in (Mt. Umunuhum), 1.25 in (Valley Christian), 0.75 in (Mill Valley), 0.5 in (San Francisco), 0.25 in (Oakland San Francisco Bay Airport), 0.10 in (Concord), 0.07 in (San Jose)', 'heavy', 'San Diego: >2 inches recorded; Western Washington to central California: 2 to 4 inches expected; Southern California: 1 to 2 inches expected', 'Mount Tamalpais 3.38 inches in 48 hours; San Rafael 2–2.5 inches in same 48-hour period; Novato 1–1.5 inches; forecast 2–2.5 inches this weekend', 'Mount Tamalpais 3.38 in over 48 hours; San Rafael 2–2.5 in over 48 hours; Novato 1–1.5 in over 48 hours; forecast 2–2.5 in this weekend', {'Mount Umunhum_in': 1.5, 'Mill Valley_in': 0.75, 'San Francisco_in': 0.5, 'Oakland_San_Francisco_Bay_Airport_in': 0.25, 'Concord_in': 0.1, 'San_Jose_in': 0.07}, {'Mt. Umunhum_24h_ending_07:00': '1.5 inches', 'Valley Christian_24h_ending_07:00': '1.25 inches', 'Mill Valley_24h_ending_07:00': '0.75 inches', 'San Francisco_24h_ending_07:00': '0.5 inches', 'Oakland San Francisco Bay Airport_24h_ending_07:00': '0.25 inches', 'Concord_24h_ending_07:00': '0.1 inches', 'San Jose_24h_ending_07:00': '0.07 inches'}, '2.46 inches (Dec 31–Jan 1); 0.8 inches (Dec 24)'], 'river_discharge': [""Eel River and Mad River could reach 'action stage'"", 'rising', 'Coyote Creek reached 8 feet (Tamalpais Valley)', 'River level rose to 12.75 ft at Fashion Valley (earlier storm raised from average 2.5 ft to 5.46 ft)'], 'soil_saturation': ['saturated ground conditions', True], 'rainfall_anomaly': ['one of the wettest in decades', 7.8, 7.8, 7.8]}",[],0.9,[],
labour_strike,2025-12-31,2026-01-01 11:39:48,India (nationwide; 22 cities including Delhi and Mumbai),"['https://aninews.in/news/business/zomatos-deepinder-goyal-trying-to-save-himself-many-questions-still-unanswered-gig-workers-union20260103140534/', 'https://aninews.in/news/national/general-news/people-demanded-the-changes-bjp-leaders-defend-vb-g-ram-g-bill-as-congress-calls-for-protest20260103215852/', 'https://countercurrents.org/2026/01/gig-workers-big-strike-beats-platform-bullies-and-their-lies/', 'https://localnews8.com/news/national-world/cnn-world/2026/01/01/in-india-door-deliveries-can-come-in-under-10-minutes-but-many-drivers-are-fed-up/', 'https://northeasttoday.in/northeast/tripura-unorganized-workers-congress-protests-alleged-removal-of-gandhis-name-from-mgnrega/', 'https://pragativadi.com/centre-proposes-90-days-of-annual-work-for-gig-workers-to-access-social-security-benefits-explained/', 'https://thearabianpost.com/gig-workers-concluded-2025-with-all-india-strike-will-have-to-do-more-in-2026/', 'https://theindianawaaz.com/ten-minute-delivery-endless-insecurity-for-gig-workers/', 'https://thenorthlines.com/centre-releases-draft-social-security-rules-for-gig-workerscentre-unveils-draft-social-security-rules-for-gig-workers-after-nationwide-strike/', 'https://www.business-humanrights.org/en/latest-news/india-over-two-hundred-thousand-gig-workers-stage-nationwide-new-years-eve-log-off-protest-against-exploitative-platform-work/', 'https://www.businesstoday.in/india/story/scale-doesnt-excuse-shifting-all-risk-to-workers-hidden-power-gap-in-indias-gig-economy-509531-2026-01-05', 'https://www.businesstoday.in/latest/trends/story/anarchists-vs-dignity-mohandas-pai-raghav-chadha-trade-barbs-over-gig-worker-strikes-509276-2026-01-03', 'https://www.chennaionline.com/news/over-500-sanitation-workers-detained-in-chennai/', 'https://www.cnn.com/2026/01/01/india/india-gig-workers-delivery-strike-intl-hnk', 'https://www.deccanchronicle.com/southern-states/telangana/no-gig-worker-protest-impact-in-prime-areas-1927709', 'https://www.dw.com/en/india-gig-workers-fight-for-fair-treatment-and-benefits/a-75397994', 'https://www.dw.com/en/indias-gig-workers-fight-for-fair-treatment-and-benefits/a-75397994', 'https://www.freepressjournal.in/mumbai/gig-workers-accuse-delivery-platforms-of-profiting-from-new-year-rush-while-ignoring-safety-pay-and-dialogue-demands', 'https://www.livemint.com/news/india/gig-workers-union-reacts-to-zomato-deepinder-goyals-x-posts-calls-for-removal-of-10-minute-delivery-11767455009694.html', 'https://www.outlookindia.com/national/war-of-words-over-gig-workers-strike-biz-leaders-take-on-raghav-chadha-side-with-zomato-founder', 'https://www.rozanaspokesman.com/news/business/020126/gig-workers-in-india-could-get-social-security-after-just-90-days-of-w.html', 'https://www.rozanaspokesman.com/news/business/030126/zomato-10-minute-delivery-controversy-gig-workers-protest-ceo-goyal.html', 'https://www.siasat.com/auto-drivers-protest-ktr-slams-congress-govt-for-illegal-arrests-3320519/', 'https://www.siasat.com/gig-workers-strike-zomato-founder-calls-protestors-miscreants-tgpwu-hits-back-3319998/', 'https://www.tribuneindia.com/news/india/10-minute-delivery-zomato-ceo-trying-to-save-himself-says-gig-workers-union/']",25.0,India: Over two hundred thousand gig workers stage nationwide New Year’s Eve log-off protest against exploitative platform work,,"{'wage_growth': [10.9, 10.9, 10.9, 10.9]}",[],0.9,[],
tariffs,,,China,['https://www.terradaily.com/reports/Australia_disappointed_with_Chinas_beef_tariffs_999.html'],1.0,Australia 'disappointed' with China's beef tariffs,,"{'tariff_rate': 55, 'affected_trade_value': 'over A$1 billion (AUD)'}",[],0.9,[],
