url_normalized,title,meta_description,http_status,fetch_error
https://radaronline.com/p/discovery-channel-chad-ollinger-killing-cellmate-supernatural-powers/,Reality Star Who 'Killed His Cellmate' to Undergo 'Competency Hearing','Mystery at Blind Frog Ranch' alum Chad Ollinger allegedly admitted to murdering Christopher Kelly after claiming his fellow inmate was a pedophile.,200,
https://www.thisdaylive.com/2026/01/01/anthony-joshua-discharged-from-hospital-after-tragic-road-accident/,Anthony Joshua Discharged from Hospital After Tragic Road Accident – THISDAYLIVE,,200,
https://www.columbian.com/news/2025/dec/31/chief-justice-john-roberts-says-constitution-remains-firm-and-unshaken-with-major-supreme-court-rulings-ahead/,,,403,bad_status:403
https://www.manilatimes.net/2026/01/01/tmt-newswire/globenewswire/north-american-niobium-and-critical-minerals-corp-announces-marketing-agreement/2251610,,,403,bad_status:403
https://www.spokesman.com/stories/2025/dec/31/pentagon-to-pay-boeing-86b-to-make-fighters-for-is/,"Pentagon to pay Boeing $8.6B to make fighters for Israel, raising concerns","Boeing will design and produce 25 new fighter jets for the Israeli Air Force under a new contract with the U.S. Department of Defense, reigniting concern about the aerospace manufacturer’s connection to the ongoing violence in Gaza.",200,
https://www.hellenicshippingnews.com/samsung-heavy-workers-threaten-delivery-delays-over-frozen-bonuses-despite-record-profits/,Samsung Heavy workers threaten delivery delays over frozen bonuses despite record profits | Hellenic Shipping News Worldwide,,200,
https://www.hellenicshippingnews.com/iron-ore-logs-annual-gain-in-a-dramatic-recovery-fuelled-by-steel-exports/,,,404,bad_status:404
https://wltribune.com/2025/12/31/from-ottawa-to-ostriches-vernon-lake-country-monashee-mp-reflects-on-2025/,"From Ottawa to ostriches, Vernon-Lake Country-Monashee MP reflects on 2025 | Williams Lake Tribune","Busy, and frustrating, year for Scott Anderso bouncing around political circus",200,
https://www.hellenicshippingnews.com/chinas-xi-promises-more-proactive-macro-policies-in-2026/,,,404,bad_status:404
https://www.rnz.co.nz/news/national/583019/i-want-to-sit-down-with-her-cancer-patient-demands-meeting-with-nicola-willis,'I want to sit down with her': Cancer patient demands meeting with Nicola Willis | RNZ News,"An Auckland woman who is self-funding treatment for her rare, aggressive breast cancer is fed up after years of asking the government to fund a ""life-saving"" medicine for more patients.",200,
https://www.cbc.ca/news/canada/north/yukon-man-woodlot-permitting-error-9.7031136,"Ibex Valley, Yukon, man said he risks losing everything over woodlot permitting issue  | CBC News","Ken Hubbard said he risks going bankrupt after he moved his heavy equipment, not once, but twice to two different woodlots only to discover the wood at the lots weren't harvestable.",200,
