url,source_title,disruption_type,event_date,publish_date,location_name,duration_hours,extras,confidence
https://www.dnaindia.com/world/report-donald-trump-s-big-claim-on-tariffs-says-us-sees-record-investment-3195611,,unknown,,,,,{},0.0
https://mb.com.ph/2026/01/01/heavy-rainfall-triggers-floods-landslides-in-negros-oriental,,unknown,,,,,{},0.0
https://libyaobserver.ly/inbrief/libya-voices-concern-over-rising-tensions-taiwan-strait,Libya voices concern over rising tensions in Taiwan Strait,unknown,,2026-01-01T15:24:07+00:00,,,{},0.0
https://www.newkerala.com/news/a/pakistans-enforced-disappearance-crisis-persists-as-another-baloch-178.htm,"Enforced Disappearances Continue in Balochistan, Rights Groups Demand Action",unknown,,2026-01-01T13:16:34+00:00,,,{},0.0
https://drudge.com/news/288975/iran-listen-protesters-legitimate,Iran to Listen to Protesters' 'legitimate demands' After Widespread Dissent,trade_embargo,,,Iran,,{},0.7
https://dailypioneer.com/news/low-pay-tedious-work-lack-of-security-push-gig-workers-to-the-edge,"Gig Workers Struggle With Long Hours, Low Pay; Nationwide Strike Announced",labour_strike,,,India,,{},0.9
http://www.heraldglobe.com/news/278784911/us-sees-record-investment-as-domestic-products-face-no-tariffs-claims-trump,"US sees record investment as domestic products face no tariffs, claims Trump",trade_embargo,2026-01-01,,Venezuela,,{'sanction_count': 4},0.9
https://www.thenewsminute.com/news/over-two-lakh-gig-workers-log-off-nationwide-in-new-years-eve-strike,Over two lakh gig workers log off nationwide in New Year’s Eve strike,labour_strike,,2026-01-01T06:25:56.299000+00:00,India,17.0,{},0.9
https://www.timesfreepress.com/news/2025/dec/31/trump-made-lots-tariff-threats-2025/,Trump made lots of tariff threats in 2025. Here are some that never materialized,tariffs,,2025-12-31T23:30:00+00:00,United States,,{},0.8
https://timesofsandiego.com/life/2026/01/01/flooding-closes-roads-prompts-travel-warnings-across-san-diego-county/,,unknown,,,,,{},0.0
https://www.watoday.com.au/politics/federal/china-sets-beef-import-quotas-in-hit-to-australia-and-other-exporters-20260101-p5nr12.html,China beef tariffs: Australia condemns new import duties that could cost industry $1 billion,tariffs,2026-01-01,2025-12-31T21:30:19+00:00,China,,"{'tariff_rate': 55, 'affected_trade_value': 1000000000}",0.9
http://www.econotimes.com/China-Imposes-55-Tariff-on-Beef-Imports-Above-Quota-to-Protect-Domestic-Industry-1729913,China Imposes 55% Tariff on Beef Imports Above Quota to Protect Domestic Industry,tariffs,2026-01-01,2026-01-01T05:25:09+00:00,China,,{'tariff_rate': 55},0.9
https://www.smh.com.au/politics/federal/china-sets-beef-import-quotas-in-hit-to-australia-and-other-exporters-20260101-p5nr12.html,China beef tariffs: Australia condemns new import duties that could cost industry $1 billion,tariffs,2026-01-01,2025-12-31T21:30:19+00:00,China,,"{'tariff_rate': 55, 'affected_trade_value': 1000000000}",0.9
https://www.blayneychronicle.com.au/story/9144216/chinas-beef-tariffs-spur-free-trade-respect-call/,China's beef tariffs spur free trade 'respect' call,tariffs,,2026-01-01T16:32:54+00:00,China,,"{'tariff_rate': 55, 'affected_trade_value': 1000000000}",0.9
https://www.watoday.com.au/business/markets/china-sets-beef-import-quotas-in-hit-to-australia-and-other-exporters-20260101-p5nr12.html,China beef tariffs: Australia condemns new import duties that could cost industry $1 billion,tariffs,2026-01-01,2025-12-31T21:30:19+00:00,China,,"{'tariff_rate': 55, 'affected_trade_value': 1000000000}",0.85
https://www.crookwellgazette.com.au/story/9143868/china-sets-quotas-slaps-extra-tariffs-on-beef-imports/,"China sets quotas, slaps extra tariffs on beef imports",tariffs,,2026-01-01T00:22:24+00:00,China,,{'tariff_rate': 55},0.9
https://saharareporters.com/2026/01/01/prp-calls-nigerians-nationwide-protests-resistance-against-tinubus-tax-policies,"PRP Calls On Nigerians For Nationwide Protests, Resistance Against Tinubu’s Tax Policies",labour_strike,,2026-01-01T00:00:00+00:00,Nigeria (nationwide),,{},0.8
https://www.northqueenslandregister.com.au/story/9143802/china-imposes-massive-tariff-on-aussie-beef-imports-new-year-slap/,"China slaps whopping tariff on Aussie beef, putting $1b a year at risk",tariffs,,2025-12-31T23:41:00+00:00,China,,"{'tariff_rate': 55, 'affected_trade_value': 1000000000}",0.9
https://katu.com/news/nation-world/trump-delays-increased-tariffs-on-furniture-amid-ongoing-trade-talks,Trump delays increased tariffs on furniture amid ongoing trade talks,tariffs,,2026-01-01T20:11:45+00:00,United States,8760.0,"{'tariff_rate': [25, 30, 50]}",0.9
https://www.el-balad.com/6809035,Italy Reports US Drops Trump’s Pasta Tariffs,tariffs,,2026-01-01T21:19:03+00:00,United States,,"{'tariff_rate': {'La Molisana': 2.26, 'Garofalo': 13.98, 'Other producers': 9.09, 'Previous_proposed_max': 92}, 'affected_trade_value': '€671 million'}",0.9
https://timesofsandiego.com/life/2025/12/31/new-years-storm-already-drenching-san-diego-county/,,unknown,,,,,{},0.0
https://investinglive.com:443/news/icymi-china-slaps-55-tariff-on-excess-beef-imports-under-new-three-year-safeguard-regime-20260101/,ICYMI: China slaps 55% tariff on excess beef imports under new three-year safeguard regime,tariffs,2026-01-01,2026-01-01T22:03:07+00:00,China,26280.0,"{'tariff_rate': 55, 'affected_trade_value': 3000000000}",0.9
https://www.times-standard.com/2025/12/31/potential-for-major-flooding-with-storm-king-tides-on-horizon/,"Potential for major flooding with storm, king tides on horizon",flood,,2025-12-31T20:03:25+00:00,"Humboldt County, California",,"{'rainfall_intensity': 'higher intensity rainfall late Friday night through early Saturday morning', 'river_discharge': ""Eel River and Mad River could reach 'action stage'""}",0.8
https://www.aljazeera.com/news/2026/1/1/donald-trump-pauses-us-tariff-hike-on-furniture-cabinets-for-one-year,"Donald Trump pauses US tariff hike on furniture, cabinets for one year",tariffs,2025-12-31,2026-01-01T17:14:56+00:00,United States,8760.0,"{'tariff_rate': {'paused_hike_cabinets_vanities_percent': 50, 'paused_hike_upholstered_furniture_percent': 30, 'maintained_rate_percent': 25, 'pasta_companies_recalculated_rates_percent': [2.26, 13.98, 9.09], 'previous_threatened_pasta_rate_percent': 92}}",0.9
https://www.abc.net.au/news/2026-01-01/china-hits-australian-beef-industry-with-tariff/106191726,,tariffs,2026-01-01,2026-01-01T01:00:40+00:00,China,26304.0,"{'tariff_rate': 55, 'affected_trade_value': 1000000000}",0.9
https://www.deccanchronicle.com/southern-states/telangana/no-gig-worker-protest-impact-in-prime-areas-1927709,No Gig Worker Protest Impact in Prime Areas,labour_strike,,2026-01-01T16:11:17+00:00,"Hyderabad, Telangana, India",,{},0.9
https://www.euronews.com/business/2026/01/01/a-respite-for-sofas-and-spaghetti-trump-eases-and-delays-tariffs,,unknown,,,,,{},0.0
https://en.apa.az/social/several-reported-killed-in-iran-protests-over-economic-hardships-487937,Several reported killed in Iran protests over economic hardships,unknown,,,,,{},0.0
https://www.bostonherald.com/2026/01/01/ticker-trump-hits-pause-on-some-tariffs-us-hits-venezuela-oil-with-sanctions/,,unknown,,,,,{},0.0
https://www.upi.com/Top_News/US/2026/01/01/tariff-rollback-italian-pasta/5631767309584/,,tariffs,2026-01-01,2026-01-01T23:24:15+00:00,United States (imports from Italy),,"{'tariff_rate': {'original_percent': 92, 'reduced_range_percent': [2, 14], 'specific_reduced_rates_percent': {'La Molisana': 2.26, 'Pastificio Lucio Garofalo': 13.98, 'other_11_companies': 9.09}}, 'affected_products_count': 13, 'affected_trade_value': 788000000}",0.9
https://dominicanrepublicpost.com/donald-trump-pauses-us-tariff-hike-on-furniture-cabinets-for-one-year/,,unknown,,,,,{},0.0
https://focustaiwan.tw:443/politics/202601010004,"Lithuania, Australia, New Zealand join outpouring of concern over China's drills",unknown,,2026-01-01T04:19:00+00:00,,,{},0.0
https://www.philstar.com/headlines/2026/01/02/2498190/pagasa-bares-new-roster-cyclone-names,PAGASA bares new roster of cyclone names,unknown,,2026-01-01T16:00:00+00:00,,,{},0.0
https://www.mnnonline.org/news/iran-unrest-signals-deeper-frustration-with-leadership/,Iran unrest signals deeper frustration with leadership,unknown,,2026-01-23T16:28:58+00:00,,,{},0.0
https://www.terradaily.com/reports/Australia_disappointed_with_Chinas_beef_tariffs_999.html,Australia 'disappointed' with China's beef tariffs,tariffs,,,China,,"{'tariff_rate': 55, 'affected_trade_value': 'over A$1 billion (AUD)'}",0.9
https://focustaiwan.tw/politics/202601010004,"Lithuania, Australia, New Zealand join outpouring of concern over China's drills",unknown,,2026-01-01T04:19:00+00:00,,,{},0.0
https://www.newindianexpress.com/nation/2026/Jan/01/dehradun-protests-continue-over-death-of-tripura-student-angel-chakma,Dehradun protests continue over death of Tripura student Angel Chakma,unknown,,2026-01-01T15:04:51.759000+00:00,,,{},0.0
https://newstalk870.am/ixp/1137/p/atmospheric-river-flooding-impact/,,unknown,,,,,{},0.0
https://www.el-balad.com/6809218,Italy Escapes 107% Pasta Tariffs as Decision Reversed,tariffs,,2026-01-02T00:33:03+00:00,United States,,"{'tariff_rate': {'previous_percent': 107, 'new_percent_min': 24, 'new_percent_max': 29}}",0.9
https://www.ijpr.org/disasters-and-accidents/2026-01-01/charities-mobilize-to-help-residents-after-redding-flood,Charities mobilize to help residents after Redding flood,flood,2025-12-21,2026-01-01T13:47:18.036000+00:00,"Redding, California",,{},0.9
https://www.columbian.com/news/2026/jan/01/washington-historic-floods-uncover-critical-gap-in-renter-protection/,,unknown,,,,,{},0.0
https://kathmandupost.com/national/2026/01/01/locals-protest-after-sunsari-shooting-block-highway,"Locals protest after Sunsari shooting, block highway",unknown,,2026-01-01T00:00:00+00:00,,,{},0.0
https://www.nbcwashington.com/news/national-international/trump-tariff-threats-some-never-materialized/4035762/,Trump made lots of tariff threats in 2025. Here are some that never materialized,tariffs,2025-09-25,2025-12-31T19:06:05+00:00,United States,,{'tariff_rate': 100},0.8
https://www.philstar.com/headlines/2026/01/02/2498177/flood-control-scam-raps-filed-no-big-fish,Flood control scam raps filed; no big fish,unknown,,2026-01-01T16:00:00+00:00,,,{},0.0
https://www.perthnow.com.au/news/australian-beef-industry-slams-chinas-new-55-per-cent-import-tariffs-c-21175067,Australian beef industry slams China’s new 55 per cent import tariffs,tariffs,2026-01-01,2025-12-31T23:47:58+00:00,China,,"{'tariff_rate': 55, 'affected_trade_value': 'more than A$1,000,000,000'}",0.9
https://www.edp24.co.uk/news/25698634.nearly-30pc-norfolk-broadland-flood-defences-failing/,Nearly 30pc of Norfolk Broadland flood defences 'failing',flood,,2026-01-01T06:00:00+00:00,"Broadland, Norfolk, UK",,{},0.8
https://www.wcbi.com/u-s-reduces-proposed-tariffs-on-italian-pasta-italys-foreign-ministry-says/,"U.S. reduces proposed tariffs on Italian pasta, Italy’s foreign ministry says",tariffs,,2026-01-01T19:48:39+00:00,United States,,"{'tariff_rate': 'reduced from as high as 92% to as little as 2.26%; La Molisana 2.26%; Garofalo ~14%; 11 additional brands 9%; existing 15% tariffs on most EU imports', 'affected_products_count': 13}",0.9
https://globalnews.ca/news/11596286/donald-trump-tariffs-furniture-increase-delay/,"Trump delays increased tariffs on furniture, kitchen cabinets for a year - National",tariffs,,2026-01-01T17:17:22+00:00,United States,8760.0,"{'tariff_rate': [25, 30, 50]}",0.9
https://nltimes.nl/2026/01/01/storm-anna-strong-winds-causing-issues-schiphol-airport,Storm Anna: Strong winds causing some issues at Schiphol Airport,cyclone_hurricane,2026-01-01,2026-01-01T12:40:00+00:00,"Schiphol Airport, Noord-Holland, Netherlands",,{'wind_speed': 90},0.85
https://www.thehitavada.com/Encyc/2026/1/1/contaminated-water-crisis-hits-indore-7-dead-hundreds-hospitalised.html,"Contaminated water crisis hits Indore: 7 dead, hundreds hospitalised",unknown,,2026-01-01T00:00:00+00:00,,,{},0.0
https://www.bordermail.com.au/story/9143993/riverina-reacts-chinese-tariffs-impact-australian-beef-exports/,'Nonsense': Riverina farmers shocked by China's brutal New Year beef tariff,tariffs,2026-01-01,2026-01-01T04:54:00+00:00,China,,{'tariff_rate': 55},0.9
https://www.bworldonline.com/the-nation/2026/01/01/721925/philippines-concerned-over-chinas-drills-near-taiwan-says-they-undermine-regional-stability/,,unknown,,,,,{},0.0
https://www.rnz.co.nz/news/national/583058/weather-thunderstorms-perhaps-on-the-way-for-auckland-northland,"Weather: Thunderstorms perhaps on the way for Auckland, Northland",flood,,2026-01-01T21:58:39+00:00,Gisborne/Tai Rāwhiti,24.0,{'rainfall_intensity': '25 to 40 mm/h'},0.8
https://bernews.com/2025/12/weather-forecast-thursday-january-1-2/,,unknown,,,,,{},0.0
https://www.businesstimes.com.sg/companies-markets/energy-commodities/china-imposes-curbs-beef-imports-protect-domestic-industry,China imposes curbs on beef imports to protect domestic industry,tariffs,2026-01-01,,China,,{'tariff_rate': 55},0.9
https://www.ariananews.af/putin-rahmon-discuss-afghanistan-linked-security-concerns/,,unknown,,,,,{},0.0
https://www.cbsnews.com/news/us-cuts-italy-pasta-tariffs/,"U.S. reduces proposed tariffs on Italian pasta, Italy's foreign ministry says",tariffs,,2026-01-01T21:15:20+00:00,United States - imports from Italy,,"{'tariff_rate': {'proposed_max_percent': 92, 'reduced_min_percent': 2.26, 'examples_percent': {'La Molisana': 2.26, 'Garofalo': 'nearly 14', '11_brands': 9}, 'existing_eu_tariff_percent': 15}, 'affected_products_count': 13}",0.9
https://www.hellenicshippingnews.com/venezuelan-oil-production-exports-fall-as-us-ramps-up-sanctions-enforcement/,"Venezuelan oil production, exports fall as US ramps up sanctions enforcement",trade_embargo,,,Venezuela,,{'sanction_count': 24},0.8
https://www.globalsecurity.org/military/library/news/2025/12/mil-251231-oic03.htm,General Secretariat of the Organisation of Islamic Cooperation condemns the Israeli occupation authorities' decision to ban international humanitarian organisations from operating in the Gaza Strip,trade_embargo,2025-12-31,,Gaza Strip,,{'sanction_count': 37},0.8
https://www.panapress.com/Gambia-confirms-migrant-boat-cap-a_630786706-lang2.html,"Gambia confirms migrant boat capsize, seven dead, dozens rescued",unknown,,2026-01-01T19:15:54+00:00,,,{},0.0
https://www.nancyonnorwalk.com/boycott-urged-after-racist-slur-allegation-at-norwalk-nail-salon/,,unknown,,,,,{},0.0
https://www.globalsecurity.org/wmd/library/news/taiwan/2026/taiwan-260101-globaltimes01.htm,Chinese Embassy in Australia urges Canberra to abide by political commitments on Taiwan,unknown,,,,,{},0.0
https://www.globalsecurity.org/wmd/library/news/china/2025/12/china-251230-prc-mofa06.htm,Opening up New Horizons for Major-Country Diplomacy with Chinese Characteristics at a Crucial Historical Juncture,tariffs,2025-12-30,,global,,{},0.8
https://nationalpost.com/news/world/iran-cost-of-living-protests,,labour_strike,,2026-01-01T19:40:12+00:00,"Tehran, Iran",,{'inflation_rate': 52},0.7
https://www.livelaw.in/high-court/kerala-high-court/kerala-high-court-orders-ecology-focused-oversight-sand-removal-thottappally-spillway-516631,Flood Control Measures Can't Ignore Ecological Impact: Kerala High Court On Thottappally Spillway Sand Removal,unknown,,2026-01-01T06:00:10+00:00,,,{},0.0
https://www.freepressjournal.in/pune/with-jan-4-exam-looming-mpsc-aspirants-protest-in-pune-demanding-age-limit-relaxation-in-psi-recruitment,"With Jan 4 Exam Looming, MPSC Aspirants Protest In Pune Demanding Age Limit Relaxation In PSI Recruitment",unknown,,2026-01-01T16:37:58+00:00,,,{},0.0
https://www.thesouthafrican.com/news/weather/eastern-cape-on-high-alert-as-severe-storms-intensify/,Eastern Cape on high alert as severe storms intensify,flood,,2026-01-01T00:19:04+00:00,"Eastern Cape, South Africa",,"{'rainfall_intensity': 'heavy downpours', 'river_discharge': 'swollen rivers'}",0.8
https://www.straitstimes.com/asia/australianz/australia-disappointed-with-chinas-beef-tariffs,Australia ‘disappointed’ with China’s beef tariffs,tariffs,,2026-01-01T07:50:00+00:00,China,,"{'tariff_rate': 55, 'affected_trade_value': 'A$1000000000'}",0.9
https://www.spacewar.com/reports/Thai_army_accuses_Cambodia_of_violating_truce_with_over_250_drones_999.html,Thai army accuses Cambodia of violating truce with over 250 drones,unknown,,,,,{},0.0
https://www.el-balad.com/6808807,2026 Brings Flood Alerts and Intense SoCal Rainfall: Storm Tracking Updates,flood,2026-01-01,2026-01-01T17:19:04+00:00,"Western Los Angeles County, Southern California",,"{'rainfall_intensity': {'Los Angeles': 1.53, 'Oxnard': 1.0, 'Santa Barbara': 0.8, 'San Luis Obispo': 0.57}, 'soil_saturation': 'saturated ground conditions', 'rainfall_anomaly': 'one of the wettest in decades'}",0.9
https://www.dailyexcelsior.com/centre-must-rebut-chinese-claims-of-mediation-between-india-pak-owaisi-on-op-sindoor/,"Centre Must Rebut Chinese Claims Of Mediation Between India, Pak: Owaisi On Op Sindoor",unknown,,2026-01-01T06:04:26+00:00,,,{},0.0
https://www.aljazeera.com/news/2026/1/1/us-says-chinese-military-drills-around-taiwan-cause-unnecessary-tensions,US says Chinese military drills around Taiwan cause unnecessary tensions,unknown,,2026-01-01T22:48:29+00:00,,,{},0.0
https://www.capitalfm.co.ke/news/2026/01/u-s-arms-sales-to-taiwan-is-a-dangerous-breach-of-commitments/,OPINION: U.S. arms sales to Taiwan is a dangerous breach of commitments,trade_embargo,,2026-01-01T09:52:16+00:00,China,,{},0.85
https://www.kunr.org/npr-news/2025-12-31/why-the-right-is-boycotting-brazilian-havaianas-sandals,Why the right is boycotting Brazilian Havaianas sandals,unknown,,2025-12-31T16:57:51+00:00,,,{},0.0
https://www.alternet.org/trump-economy-2674841042/,CNN panel knocks Trump’s 'send them money' economic plan,tariffs,,2026-01-01T13:45:00+00:00,United States,,{},0.7
https://www.edenmagnet.com.au/story/9144216/chinas-beef-tariffs-spur-free-trade-respect-call/,China's beef tariffs spur free trade 'respect' call,tariffs,,2026-01-01T16:32:54+00:00,China,,"{'tariff_rate': 55, 'affected_trade_value': 1000000000}",0.9
