url,source_title,disruption_type,event_date,location_name,duration_hours,extras,evidence,confidence,method
https://www.reuters.com/article/world/rio-declares-force-majeure-on-boyne-aluminium-idUSTRE70C1EJ/,,unknown,,,,{},[],0.0,llm-only
https://www.reuters.com/article/business/environment/factbox-companies-and-industries-hit-by-australian-floods-idUSTRE70A0TX/,,flood,,Australia,,{},[],0.4,llm-only
https://en.wikipedia.org/wiki/2008_South_China_floods,2008 South China floods,flood,2008-05-26,"Southern China (Guangdong, Fujian, Jiangxi, Hunan, and other eastern-southern provinces)",480.0,{},"['Floods began on 26 May 2008 and lasted for 20 days across fifteen provinces in Eastern and Southern China.', 'Guangdong was among the worst-hit provinces.']",0.9,llm-only
https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/country/2008/myb3-2008-ch.pdf,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/1999_Odisha_cyclone,1999 Odisha cyclone,cyclone_hurricane,1999-10-29,"Odisha, India",,"{'peak_wind_kmh': 260, 'landfall_time_utc': '06:00 UTC on 29 Oct 1999', 'storm_surge_height_m': '5-6', 'death_toll_estimate': 9887, 'damages_usd': 4444000000}","['The Odisha cyclone made landfall on the Odisha coast between Puri and Kendrapara at 06:00 UTC on 29 October.', 'Peak sustained winds reached 260 km/h (160 mph) with a minimum pressure of 912 mbar; storm surge of 5–6 m inundated inland areas.']",0.9,llm-only
https://winrock.org/resources/mozambique-water-resources-profile/,,unknown,,,,{},[],0.0,llm-only
https://cdn.fortescue.com/docs/default-source/announcements-and-reports/cyclone-george-impact.pdf?sfvrsn=c0ff3ed1_1,,unknown,,,,{},[],0.0,llm-only
https://www.reuters.com/world/more-rain-halts-vale-ore-brazilian-railway-idUSN11531880/,,rail_disruption,,Brazil,,{},[],0.7,llm-only
https://www.istructe.org/IStructE/media/Public/Resources/report-eefit-maule-chile-20190814.pdf,,earthquake,2010-02-27,"Maule Region, Chile",,{},[],0.8,llm-only
https://www.afr.com/markets/commodities/production-takes-hit-from-storms-20110222-ilozm,,cyclone_hurricane,2011-02-21,"Port Hedland, Pilbara region, Western Australia",,{},"['Heavy rainfall and wild seas from tropical cyclone Carlos disrupt production and shipping facilities.', 'Port Hedland has been closed.']",0.9,llm-only
https://www.adrc.asia/view_disaster_en.php?Key=1596&Lang=en,,flood,2012-01-03,"Minas Gerais and Rio de Janeiro, Brazil",,{},[],0.8,llm-only
https://www.reuters.com/article/world/cyclone-intensifies-australias-iron-ore-mines-brace-idUSBRE91Q02P/,,unknown,,,,{},[],0.0,llm-only
https://www.reuters.com/article/uk-australia-cyclone/australias-iron-ore-ports-prepare-as-cyclone-christine-nears-idUKBRE9BR04020131228,,unknown,,,,{},[],0.0,llm-only
https://www.perthnow.com.au/wa/minaras-murrin-mine-returning-after-flood-ng-17600b37249590ec488d529144fa1137,,flood,,Murrin Murrin Nickel Mine,,{},"['Minara Resources says heavy rains and flooding affected operations at the Murrin Murrin Nickel mine.', 'The borefields and associated pipelines were affected by the recent flooding, interrupting the project’s process water supply.', 'Borefields are operating at around 60 per cent capacity while the process plant is running at a reduced rate.']",0.8,llm-only
https://me.smenet.org/safety-fears-force-closure-of-bhps-perseverance-nickel-mine-in-western-australia/,Safety fears force closure of BHP’s Perseverance nickel mine in Western Australia,earthquake,2013-10-31,"Perseverance nickel mine, near Leinster, Western Australia",,{},"[{'text': 'On Oct. 31, a 3.7 magnitude earthquake halted operations at the Perseverance nickel mine after nine workers were trapped.'}]",0.9,llm-only
https://www.reuters.com/article/markets/commodities/bhp-suspends-australia-nickel-mine-after-small-earthquake-idUSL4N0IY14H/,,earthquake,,,,{},[],0.5,llm-only
https://www.reuters.com/article/pacificmetals-nickel-idUKL3E7FC11F20110412/,,unknown,,,,{},[],0.0,llm-only
https://newsinfo.inquirer.net/1374915/landslide-hits-cebu-mine-4-dead,,landslide,,,,{},[],0.3,llm-only
https://www.theguardian.com/world/2015/nov/05/brazil-iron-mine-dam-bursts-floods-nearby-homes,,flood,2015-11-05,"Germano mine near Mariana, Minas Gerais, Brazil",,{},[],0.95,llm-only
https://news.mongabay.com/2013/05/four-dead-and-dozens-trapped-after-collapse-at-freeport-mine-in-papua/,,mine_collapse,,"Grasberg mine, Papua province, Indonesia",,{},"['The tunnel collapsed at the Grasberg mine in Papua, Indonesia. Four workers were found dead and 10 rescued.', 'Rescue teams continued to evacuate workers and were attempting to reach around 25 workers believed trapped in the debris.']",0.75,llm-only
https://www.reuters.com/article/markets/anglo-american-declares-force-majeure-on-australia-coal-mines-idUSL3E6NU024/,,unknown,,,,{},[],0.0,llm-only
https://www.reuters.com/article/uk-australia-floods-coal-idUKLNE70300B20110104/,,unknown,,,,{},[],0.0,llm-only
https://www.reuters.com/article/business/australian-floods-dampen-peabody-2010-forecast-idUSN07183359/,,unknown,,,,{},[],0.0,llm-only
https://www.reuters.com/article/2012/01/12/australia-cyclone-idUSL3E8CC06P20120112/,,unknown,,,,{},[],0.0,llm-only
https://www.reuters.com/article/australia-cyclone/australia-cyclone-to-hit-iron-ore-trade-as-ports-close-idUSL4N0BP01Q20130225/,,unknown,,,,{},[],0.0,llm-only
https://www.reuters.com/world/asia-pacific/freeport-halts-indonesias-grasberg-mining-operations-after-underground-incident-2025-09-09/,,unknown,,,,{},[],0.0,llm-only
https://www.reuters.com/world/asia-pacific/freeport-mcmoran-expects-lower-consolidated-sales-copper-gold-third-quarter-2025-09-24/,,unknown,,,,{},[],0.0,llm-only
https://www.reuters.com/world/africa/south-africa-mine-dam-collapse-highlights-patchy-regulation-2022-09-23/,,mine_collapse,,,,{},[],0.6,llm-only
https://www.reuters.com/business/environment/australia-iron-ore-ports-close-brace-category-5-cyclone-2025-02-13/,,unknown,,,,{},[],0.0,llm-only
https://www.reuters.com/business/world-at-work/sierra-leones-largest-diamond-miner-shuts-down-laying-off-more-than-1000-workers-2025-05-12/,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/Brumadinho_dam_disaster,Brumadinho dam disaster,mine_collapse,2019-01-25,"Córrego do Feijão iron ore mine, Brumadinho, Minas Gerais, Brazil",,{},"['The Brumadinho dam disaster occurred on 25 January 2019 when a tailings dam at the Córrego do Feijão iron ore mine suffered a catastrophic failure.', ""The collapse released a mudflow that engulfed the mine's headquarters and downstream areas, including communities and infrastructure.""]",0.95,llm-only
https://en.wikipedia.org/wiki/Mariana_dam_disaster,Mariana dam disaster,mine_collapse,2015-11-05,"Fundão tailings dam, Germano iron ore mine near Mariana, Minas Gerais, Brazil",,{},"['On 5 November 2015, the Fundão tailings dam suffered a catastrophic failure, resulting in flooding that devastated the downstream villages of Bento Rodrigues and Paracatu de Baixo.', 'The failure released 43.7 million cubic metres of mine tailings into the Doce River, causing a toxic brown mudflow to pollute the river and beaches near the mouth when it reached the Atlantic Ocean 17 days later.']",0.9,llm-only
https://en.wikipedia.org/wiki/2010_Copiap%C3%B3_mining_accident,2010 Copiapó mining accident,mine_collapse,2010-08-05,"San José copper–gold mine, Atacama Desert, Chile",,{},[],0.95,llm-only
https://en.wikipedia.org/wiki/2010_China_floods,,landslide,2010-06-28,"Dazhai village, Gangwu Township, Anshun, Guizhou Province, China",0.0333,{'mud_volume_cubic_meters': 2000000},"['Landslide in Guizhou Province around 2:30 pm on June 28, 2010, trapped 99 people in the village of Dazhai, Gangwu Township, Anshun. The landslide lasted two minutes and unleashed up to 2 million cubic metres of mud and rock, burying at least 37 buildings.']",0.8,llm-only
https://en.wikipedia.org/wiki/2011_Queensland_floods,2010–2011 Queensland floods,flood,December 2010 – January 2011,"Queensland, Australia",,{},"['A series of floods hit Queensland, Australia, beginning in December 2010.']",0.92,llm-only
https://en.wikipedia.org/wiki/2012_Brazil_floods,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/2017_South_Asian_floods,2017 South Asian floods,flood,July – September 2017,Afghanistan; Bangladesh; India; Nepal; Pakistan,,{},[],0.9,llm-only
https://en.wikipedia.org/wiki/2022_Pakistan_floods,,flood,2022-06-15,Pakistan,,{},[],0.85,llm-only
https://en.wikipedia.org/wiki/2019_Eastern_Australia_floods,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/2013_Southeast_Asian_haze,,fire,2013-06-19,"Riau Province, Sumatra, Indonesia",,{},"['Fires burning in Sumatra and Borneo, with the Riau province peatland fire cited as a major source of haze.', 'NASA satellite imagery on 19 June 2013 showing smoke from illegal wildfires on Sumatra blowing toward southern Malaysia and Singapore.', 'Haze caused hazardous air quality indices across several countries, with episodes in late June 2013.']",0.7,llm-only
https://en.wikipedia.org/wiki/2023_Hawaii_wildfires,,fire,2023-08-08,"Lahaina, Maui, Hawaii",,"{'notes': 'Wind-driven wildfires in Maui, including Lahaina, during August 2023.'}",[],0.9,llm-only
https://en.wikipedia.org/wiki/2020_Australian_bushfire_season,2019–20 Australian bushfire season,fire,2019-12-21,"Gospers Mountain fire, Wollemi National Park, New South Wales, Australia",,"{'area_burnt_hectares': 350000, 'contained_date': '2020-01-12'}","['By 15 December, the Gospers Mountain fire had grown to 350,000 hectares (860,000 acres).', 'The NSW Rural Fire Service reported the fire as contained on 12 January 2020.']",0.8,llm-only
https://en.wikipedia.org/wiki/Cyclone_Yasi,,cyclone_hurricane,2011-02-02,"Mission Beach, Queensland, Australia",,{},"['Cyclone Yasi made landfall near Mission Beach, Queensland, on February 2, 2011 (14:00 UTC).', 'Damage included power outages with an estimated 90,000 structures without power, later rising to 170,000.', 'The cyclone caused widespread destruction including damage to houses and agriculture (banana and sugar cane).']",0.8,llm-only
https://en.wikipedia.org/wiki/Cyclone_Debbie,Cyclone Debbie,cyclone_hurricane,2017-03-28,"Airlie Beach, Queensland, Australia",,{},"['Made landfall near Airlie Beach at 12:40 AEST on 28 March 2017.', 'Cyclone Debbie intensified to Category 4 before landfall over Queensland.', 'Caused significant flooding and damage across South East Queensland and Northern Rivers.']",0.9,llm-only
https://en.wikipedia.org/wiki/Cyclone_Idai,,cyclone_hurricane,2019-03-15,"Beira, Mozambique",,"{'description': 'Cyclone Idai made landfall near Beira, Mozambique, triggering severe flooding and a major humanitarian crisis across Mozambique, Zimbabwe, and Malawi.'}",[],0.8,llm-only
https://en.wikipedia.org/wiki/Cyclone_Kenneth,Cyclone Kenneth,cyclone_hurricane,2019-04-25,"Pemba, Mozambique",,{},"['Made landfall just north of Pemba, Mozambique on 25 April 2019 with 1-minute sustained winds of 220 km/h.', 'The IFRC reported widespread damage in Pemba with power outages recorded throughout the city.', 'Kenneth killed 45 people in Mozambique.']",0.9,llm-only
https://en.wikipedia.org/wiki/Tropical_Storm_Imelda_(2019),Tropical Storm Imelda (2019),flood,2019-09-17,"Southeast Texas, United States",,{},"['Maximum rainfall total of 44.29 inches (1,125 mm) near Fannett, Texas, contributing to destructive flooding across Southeast Texas.', ""Interstate 10 flooding and bridge damage in the region; Houston's George Bush Intercontinental Airport closed for about 90 minutes due to flooding on runways; five deaths directly attributed to the floods.""]",0.75,llm-only
https://en.wikipedia.org/wiki/2019–20_Australian_drought,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/2015–2016_Southern_Africa_drought,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/2021_Western_North_America_heat_wave,2021 Western North America heat wave,extreme_heat,2021-06-25,Pacific Northwest and Western Canada,,{},"['The 2021 Western North America heat wave affected the Pacific Northwest and Western Canada from late June through mid-July 2021, causing infrastructure strain and wildfires.']",0.85,llm-only
https://en.wikipedia.org/wiki/European_heat_wave_of_2022,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/2010_Chile_earthquake,,earthquake,2010-02-27,"Off the coast of central Chile (near Pelluhue, Maule Region)",0.05,"{'magnitude': 8.8, 'notes': 'Triggered a tsunami and a blackout; heavy damage across central Chile'}","['Occurred off the coast of central Chile on 27 February 2010', 'Magnitude 8.8 on the moment magnitude scale', 'Epicenter near Pelluhue, Maule Region, about 3 km off the coast', 'Shaking lasted about three minutes']",0.9,llm-only
https://en.wikipedia.org/wiki/2011_T%C5%8Dhoku_earthquake_and_tsunami,,earthquake,2011-03-11T14:46:24+09:00,"Oshika Peninsula, Tōhoku region, Japan (off the Pacific coast of Honshu)",0.1,{},"['On 11 March 2011, at 14:46:24 JST, a Mw 9.0–9.1 undersea megathrust earthquake occurred in the Pacific Ocean, 72 km east of the Oshika Peninsula of the Tōhoku region.', 'It lasted approximately six minutes and caused a tsunami.', 'The epicenter was approximately 72 km east of the Oshika Peninsula, Tōhoku region.']",0.9,llm-only
https://en.wikipedia.org/wiki/2004_Indian_Ocean_earthquake_and_tsunami,,earthquake,2004-12-26T07:58:53+07:00,"Aceh, Sumatra, Indonesia",0.1666666667,{},"['Mw 9.2–9.3 Sumatra–Andaman earthquake off the west coast of Aceh, northern Sumatra, Indonesia, lasting at least ten minutes, followed by a devastating tsunami.']",0.9,llm-only
https://en.wikipedia.org/wiki/2023_Turkey%E2%80%93Syria_earthquakes,,earthquake,2023-02-06,"Gaziantep Province, Turkey",,{},['Main Mw 7.8 earthquake struck southern and central Turkey with epicenter 34 km west of Gaziantep; 6 February 2023.'],0.95,llm-only
https://en.wikipedia.org/wiki/2015_Nepal_earthquake,April 2015 Nepal earthquake,earthquake,2015-04-25,"Barpak, Gorkha District, Nepal",0.0138888889,{},[],0.9,llm-only
https://en.wikipedia.org/wiki/2018_Sulawesi_earthquake_and_tsunami,,earthquake,2018-09-28,"Palu, Central Sulawesi, Indonesia",,{},"['Mainshock occurred at 18:02 WITA on 28 September 2018.', 'Epicenter located in the mountainous Donggala Regency, Central Sulawesi.', 'A localised tsunami struck Palu.']",0.9,llm-only
https://en.wikipedia.org/wiki/2015_Landslide_in_Shizuoka,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/2014_Oso_mudslide,2014 Oso landslide,landslide,2014-03-22T10:37:22-07:00,"Steelhead Haven, Snohomish County, Washington, United States",0.0416666667,{},[],0.9,llm-only
https://en.wikipedia.org/wiki/2017_Freetown_mudslides,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/2020_Pettimudi_landslide,2020 Pettimudi landslide,landslide,2020-08-06,"Pettimudi, Munnar, Idukki District, Kerala, India",,{},"['Landslide in Pettimudi, Idukki District, Kerala on 6 August 2020.', 'The electricity connection was interrupted.', 'The bridge on the road was washed away, hindering rescue efforts.']",0.9,llm-only
https://en.wikipedia.org/wiki/2014_South_African_platinum_strike,2014 South African platinum strike,labour_strike,2014-01-23,"Rustenburg area, South Africa",,{},"['On January 23, 2014, nearly 70,000 AMCU platinum workers in the Rustenburg area went on strike.']",0.9,llm-only
https://en.wikipedia.org/wiki/2017_Chile_miners%27_strike,,labour_strike,2017,Chile,,{},[],0.6,llm-only
https://en.wikipedia.org/wiki/2023_Writer%27s_Guild_of_America_strike,,unknown,,,,{},[],0.0,llm-only
https://www.reuters.com/article/global-metals/metals-copper-jumps-to-2-year-high-on-strike-worries-at-chile-mine-idUSL3N2EK0QJ/,,labour_strike,,Chile,,{},[],0.6,llm-only
https://www.reuters.com/article/markets/currencies/workers-at-codelcos-chuquicamata-mine-threaten-strike-idUSKBN1JL2BE/,,labour_strike,,,,{},[],0.5,llm-only
https://www.reuters.com/article/markets/currencies/coloumn-threat-of-strikes-looms-large-for-copper-supply-in-2018-andy-home-idUSKBN1ED1V6/,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/2010_rare_earth_crisis,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/Russian_invasion_of_Ukraine,,flood,,"Kakhovka Dam, Ukraine",,{},"['In early June 2023, the Kakhovka Dam, under Russian occupation, was damaged, causing flooding and triggering warnings of ecocide.']",0.85,llm-only
https://en.wikipedia.org/wiki/United_States_sanctions_against_Iran,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/International_sanctions_during_the_Russo-Ukrainian_War,,unknown,,,,{},[],0.0,llm-only
https://www.reuters.com/article/commodities/indonesia-bans-bauxite-exports-idUSL4N2LE0X5/,,trade_embargo,,Indonesia,,{},['Reuters article reporting Indonesia bans bauxite exports (export restriction)'],0.6,llm-only
https://en.wikipedia.org/wiki/2021_Texas_power_crisis,,power_outage,2021-02-15,Texas,,{},"['On February 15, 2021, ERCOT initiated rotating outages as extreme winter weather hit Texas during Winter Storm Uri.']",0.9,llm-only
https://en.wikipedia.org/wiki/2019_California_wildfires#Power_outages,2019 California wildfires,power_outage,,California,,{},[],0.8,llm-only
https://en.wikipedia.org/wiki/2019_Venezuelan_blackouts,2019 Venezuelan blackouts,power_outage,2019-03-07,Venezuela (nationwide),168.0,{},['The first widespread blackout began on 7 March 2019 at 4:56 pm VET and lasted through 14 March.'],0.9,llm-only
https://en.wikipedia.org/wiki/2023_South_Africa_energy_crisis,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/2021_Suez_Canal_obstruction,,unknown,2021-03-23,"Suez Canal, Egypt",144.0,{},"['The Suez Canal was blocked for six days from 23 to 29 March 2021 by the Ever Given, a container ship that had run aground in the canal.']",0.85,llm-only
https://en.wikipedia.org/wiki/2024_Baltimore_bridge_collapse,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/2018_Genoa_bridge_collapse,Ponte Morandi collapse,road_closure,2018-08-14T11:36:00,"Genoa, Liguria, Italy",,{},"['A section of the Ponte Morandi collapsed during a torrential rainstorm in Genoa on 14 August 2018, severing the A10 motorway and closing railway lines to Genoa.']",0.9,llm-only
https://en.wikipedia.org/wiki/2010_Eyjafjallaj%C3%B6kull_eruption,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/2022_Oakland_port_truckers_strike,,labour_strike,2022,"Port of Oakland, Oakland, California",,{},[],0.6,llm-only
https://en.wikipedia.org/wiki/2014%E2%80%932017_California_drought,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/2022_European_drought,2022 European drought,drought,2022-07 to 2022-08,Europe,,{},"['Drought alerts in Europe on 21 July 2022.', 'During the summer of 2022, parts of Europe experienced drought conditions exacerbated by heat waves.', 'The drought had serious consequences for hydropower generation and the cooling systems of nuclear power plants, as the drought reduced the amount of river water available for cooling.', ""As of August 2022, the River Rhine's water level had fallen so much that shipping was affected.""]",0.8,llm-only
https://en.wikipedia.org/wiki/2019_India_water_crisis,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/2019_Abqaiq%E2%80%93Khurais_attack,Abqaiq–Khurais attack,fire,2019-09-14,"Abqaiq and Khurais, eastern Saudi Arabia",,{},"['Drones attacked Abqaiq and Khurais facilities, causing large fires and temporary shutdowns.']",0.9,llm-only
https://en.wikipedia.org/wiki/Explosion_at_Tianjin_ports,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/2020_Beirut_explosion,,fire,2020-08-04,Port of Beirut,,{},[],0.9,llm-only
https://en.wikipedia.org/wiki/2011_Thailand_floods,,flood,2011-07-31,Thailand,,{},"['Flooding began at the end of July triggered by Tropical Storm Nock-ten.', 'Flooding persisted in some areas until mid-January 2012.']",0.9,llm-only
https://en.wikipedia.org/wiki/2021_Henanin_floods,,unknown,,,,{},[],0.0,llm-only
https://en.wikipedia.org/wiki/2023_Libya_floods,Storm Daniel,flood,2023-09-11,"Derna, Libya",,"{'dam_failures': ['Derna dam (Belad)', 'Mansour dam (Abu Mansour)'], 'oil_port_closures': ['Ras Lanuf', 'Zueitina', 'Brega', 'Sidra'], 'notes': 'Widespread flooding in Derna due to dam collapses and storm Daniel'}","['Two dams near the city of Derna, Derna (Belad) and Mansour (Abu Mansour), collapsed, releasing floodwaters and causing catastrophic damage in Derna.', 'The National Oil Corporation announced a three-day closure of four oil ports including Ras Lanuf, Zueitina, Brega, and Sidra.', 'Derna floodwaters were described as devastating, with extensive casualties and displacement.']",0.9,llm-only
https://en.wikipedia.org/wiki/Hurricane_Harvey,,cyclone_hurricane,2017-08-26,"Houston, Texas, USA",,{},[],0.9,llm-only
